item_code,tcf
15,1
16,0.79
17,1
18,0.79
20,0.9085
21,0.95
22,0.9085
36,1
37,1
39,1
41,0.85
44,1
46,0.91
49,0.73
51,1
56,1
57,0.99
58,0.99
59,1
60,1
61,1
71,1
75,1
76,0.73
79,1
81,1
83,1
85,1
89,1
91,1
94,1
97,1
101,1
103,1
104,0.95
109,1
110,0.79
111,0.95
113,0.85
114,0.85
115,0.85
116,1
117,0.19
118,0.47
120,0.47
122,1
125,1
128,0.33
129,0.23
149,1
150,0.22
157,1
160,1
161,1
162,0.93
163,1
164,1
165,1
166,1
167,1
168,1.05
169,1
171,1.05
172,1
173,1
176,1
181,1
187,1
191,1
201,1
203,1
205,1
212,0.72
217,1
220,1
222,1
223,1
224,1
229,0.44
230,0.24
231,0.4
232,0.424
233,0.4
234,1
235,0.82
236,1
237,1
238,1
239,3.5
240,4.5
243,1
244,1
245,1
247,0.75
249,1
250,0.2
251,0.21
252,1
253,1
257,1
258,1
259,1
260,1
261,1
262,0.99
264,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
274,1
281,1
282,1
289,1
290,1
291,1
292,1
294,1
295,0.77
296,1
297,1
306,1
311,1
313,1
314,1
329,1
331,1
332,1
333,1
334,1
335,1
338,1
339,1
340,1
358,1
366,1
367,1
372,1
373,1
388,1
390,0.465
391,0.22
392,0.75
393,1
394,1
397,1
399,1
401,1
402,1
403,1
406,1
407,1
414,1
417,1
426,1
446,1
447,0.35
448,0.45
449,1
451,1.1
460,0.8
463,1
464,0.4
465,1.2
469,0.4
471,1.2
472,0.7
473,0.7
474,1
475,0.7
476,1
486,1
489,1
490,1
491,0.45
492,0.1
495,1
497,1
499,0.06
507,1
509,0.47
510,0.14
513,0.8
514,0.3
515,1
517,1
521,1
523,1
526,1
527,0.29
530,1
531,1
534,1
536,1
537,1
539,0.3
544,1
549,1
550,1
552,1
554,1
560,1
561,0.25
562,0.75
564,1
565,1
567,1
568,1
569,1
570,1
571,1
572,1
574,1
575,0.72
576,0.72
577,1
580,0.5
587,1
591,1
592,1
600,1
603,1
619,1
620,0.4
622,0.6
623,0.9
626,1.1
628,1
630,1
631,1
633,5
634,1
635,1
646,1
651,1
652,1
653,1
654,1
656,1
657,0.8
658,0.5
659,0.33
660,1
661,1
662,0.8
664,1
665,0.424
666,1.9928
667,1
671,1
672,1
677,1
687,1
689,1
692,1
693,1
698,1
702,1
711,1
720,1
723,1
737,1
748,1
753,1
754,1
755,1
767,1
768,1
769,1
770,1
771,1
773,1
774,1
778,1
780,1
809,1
826,1
828,1
829,1
831,1
836,1
837,1
843,1
845,1
846,1
850,1
853,1
855,1
858,1
859,1
862,1
866,1
867,1
868,1
869,1
870,0.71
874,0.8
875,0.6
882,1
885,1
886,1
888,1
889,0.35
890,0.35
892,0.8
893,1
894,0.4
897,0.15
898,0.1
900,0.1
901,0.2
907,0.2
909,0.8
910,1
920,0.8
928,0.8
946,1
953,1
958,0.6
959,0.3
976,1
977,1
978,1
982,1
984,0.2
987,1
988,1
994,1
996,0.6
997,0.3
999,1
1009,1
1016,1
1017,1
1018,1
1026,1
1031,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0.77
1041,0.85
1042,0.88
1043,1
1057,1
1058,1
1059,1
1060,1
1061,0.9
1062,1
1063,1
1064,0.3
1068,1
1069,1
1073,1
1074,1
1075,1
1079,1
1080,1
1091,1
1096,1
1097,1
1104,0.3
1107,1
1108,1
1110,1
1126,1
1129,1
1134,0.6
1140,1
1141,1
1150,1
1157,1
1163,1
1164,0.46
1166,1
1168,1
1169,1
1171,1
1173,1
1181,1
1182,1
1183,1
1185,1
1186,1
1187,2
1213,1
1216,1
1218,1
1225,1
1232,1
1241,1
1242,1
1243,1
1274,1
1276,1
1277,1
1293,1
1296,1
