item_code,item
2511,Wheat and products
2513,Barley and products
2514,Maize and products
2515,Rye and products
2516,Oats
2517,Millet and products
2518,Sorghum and products
2520,"Cereals, Other"
2531,Potatoes and products
2532,Cassava and products
2533,Sweet potatoes
2536,Sugar cane
2537,Sugar beet
2541,Sugar non-centrifugal
2543,"Sweeteners, Other"
2544,Molasses
2615,Bananas
2616,Plantains
2617,Apples and products
2619,Dates
2620,Grapes and products (excl wine)
2625,"Fruits, Other"
2655,Wine
2804,Rice (Paddy Equivalent)
2818,"Sugar, Refined Equiv"
